K,Fold,Epoch,Batch,Dropout,Train Accuracy,Val Accuracy,Test Accuracy,Train Loss,Val Loss,Precision,Recall,F1_Score_Asli,F1_Score_Palsu,F1_Macro,Confusion_Flat
3,1,20,32,0.2,0.854647159576416,0.7983963489532471,0.8025751113891602,0.349270612001419,0.4394755661487579,0.8604552506380909,0.7983963344788088,0.8352059925093633,0.7404129793510325,0.7878094859301978,"[[1784, 650], [54, 1004]]"
3,2,20,32,0.2,0.8706620931625366,0.8447436094284058,0.8655221462249756,0.3097339570522308,0.3385476469993591,0.8648962947345609,0.8447436264680608,0.8817110432125709,0.7741666666666667,0.8279388549396187,"[[2020, 413], [129, 929]]"
3,3,20,32,0.2,0.8221461176872253,0.838728129863739,0.8640915751457214,0.4150773584842682,0.367061048746109,0.8437695270494002,0.8387281581208823,0.8819953888073779,0.7453640886476708,0.8136797387275243,"[[2104, 329], [234, 824]]"
3,1,20,32,0.3,0.8141127824783325,0.8339060544967651,0.80972820520401,0.4305131137371063,0.3851178884506225,0.844208724197288,0.8339060710194731,0.8765957446808511,0.7460595446584939,0.8113276446696724,"[[2060, 374], [206, 852]]"
3,2,20,32,0.3,0.8624429106712341,0.8318533301353455,0.8483548164367676,0.328018307685852,0.3701107501983642,0.8544458712031843,0.8318533371526783,0.871356563664256,0.7573377428689542,0.8143471532666051,"[[1988, 445], [142, 916]]"
3,3,20,32,0.3,0.8624429106712341,0.8527642488479614,0.8640915751457214,0.3229642808437347,0.3292053043842315,0.8725982198822526,0.8527642509309653,0.8878219118288957,0.7858333333333334,0.8368276225811145,"[[2034, 399], [115, 943]]"
3,1,20,32,0.5,0.8736012578010559,0.8602520227432251,0.8426323533058167,0.3085632026195526,0.3326408565044403,0.8824246920051859,0.8602520045819015,0.8929354980254498,0.798845836768343,0.8458906673968964,"[[2035, 399], [89, 969]]"
3,2,20,32,0.5,0.8663241863250732,0.8513320088386536,0.8655221462249756,0.3246557414531708,0.3312705159187317,0.8659032531416838,0.8513319965625895,0.8881224401810736,0.7784891165172856,0.8333057783491795,"[[2060, 373], [146, 912]]"
3,3,20,32,0.5,0.8686072826385498,0.8564881086349487,0.8626609444618225,0.3156517446041107,0.3389171659946441,0.8728378256970962,0.8564881122887424,0.8914879792072774,0.7881606765327696,0.8398243278700235,"[[2058, 375], [126, 932]]"
3,1,20,64,0.2,0.8577300906181335,0.8588201403617859,0.8555078506469727,0.3347181975841522,0.3261380493640899,0.8673847100729895,0.8588201603665521,0.8953957139826013,0.7829150154117129,0.8391553646971571,"[[2110, 324], [169, 889]]"
3,2,20,64,0.2,0.8527397513389587,0.8355771899223328,0.8483548164367676,0.3439089953899383,0.3583166003227234,0.8466111713037048,0.8355771985104554,0.8775597269624573,0.7497820401046208,0.8136708835335391,"[[2057, 376], [198, 860]]"
3,3,20,64,0.2,0.8553652763366699,0.8550558686256409,0.8597997426986694,0.3342345952987671,0.3457019031047821,0.8642455843207324,0.8550558579203666,0.8924319727891157,0.7778753292361721,0.8351536510126438,"[[2099, 334], [172, 886]]"
3,1,20,64,0.3,0.8556748032569885,0.8350515365600586,0.8197425007820129,0.3451918959617615,0.3615864515304565,0.8667446417208964,0.8350515463917526,0.8714859437751004,0.7697841726618705,0.8206350582184854,"[[1953, 481], [95, 963]]"
3,2,20,64,0.3,0.8616438508033752,0.8424520492553711,0.8712446093559265,0.3355164229869842,0.3455201983451843,0.8511371126991856,0.8424520194786594,0.8833757421543681,0.7572815533980582,0.8203286477762132,"[[2083, 350], [200, 858]]"
3,3,20,64,0.3,0.8557077646255493,0.8519048690795898,0.8683834075927734,0.3371719419956207,0.3404593765735626,0.8652490941212686,0.8519048983099399,0.8888888888888888,0.7780163160154573,0.8334526024521731,"[[2068, 365], [152, 906]]"
3,1,20,64,0.5,0.7119205594062805,0.6168385148048401,0.628040075302124,0.5822102427482605,0.6711552739143372,0.7640144461342897,0.6168384879725086,0.6460317460317461,0.5823970037453183,0.6142143748885323,"[[1221, 1213], [125, 933]]"
3,2,20,64,0.5,0.8521689772605896,0.8287023901939392,0.8483548164367676,0.3460029065608978,0.3671627044677734,0.8496923298459923,0.8287023775422515,0.8694323144104803,0.7510407993338885,0.8102365568721843,"[[1991, 442], [156, 902]]"
3,3,20,64,0.5,0.8608447313308716,0.8487539291381836,0.8497853875160217,0.3301356434822082,0.3491648137569427,0.8666143933705346,0.848753938699513,0.8853171155516942,0.7779646761984861,0.8316408958750902,"[[2038, 395], [133, 925]]"
